Computer_Description,Selling_Price
"Skytech Archangel 3.0 Gaming Computer PC Desktop - Ryzen 5 3600 6-Core 3.60 GHz, RTX 3060 12 GB, 1 TB SSD, 16 GB DDR4 3000, RGB Fans, AC WiFi, 600W Gold PSU, Windows 10 Home 64-bit, White","$1,399.99 (6 Offers)–"
"Skytech Blaze 2.0 Gaming Computer PC Desktop - Intel i5-10400F,  GTX 1660, 500GB SSD, 16GB DDR4 3200, RGB Fans, AC WiFi, Windows 10 Home 64-Bit, Black","$1,049.99 –"
"Skytech Blaze 2.0 Gaming Computer PC Desktop - Intel i5-10400F,  GTX 1650, 500GB SSD, 16GB DDR4 3200, RGB Fans, AC WiFi, Windows 10 Home 64-Bit, Black",$949.99 –
Skytech Gaming - Shiva Gaming Desktop - Intel Core i7-11700F - GeForce RTX 3060 12G - 1TB SSD - 16GB Memory - 240mm AIO - White ST-SHIVA-0205-B PC Computer,"$1,249.99 –"
"AORUS MODEL X Gaming PC Computer Desktop (Intel i9-11900K, NVIDIA GeForce RTX 3080 10GB GDDR6X, 16GB DDR4 RAM, 3TB M.2 SSD) - GB-AMXI9N8A-2051","$2,999.99 –"
Periphio Warp Gaming PC Computer | AMD Athlon 3000G | Radeon Vega 3 iGPU (2GB) | 500GB (SSD) Solid State Storage | 16GB DDR4 RAM | Entry-Level HD 1080p Gaming,$599.99 –
"Dell OptiPlex 7040 Desktop Mini Business PC Computer, Intel Quad Core i5, 16GB RAM, 1TB Solid State Drive, Windows 10 Home, 16GB Flash Drive, Wireless Keyboard & Mouse, WiFi",$449.74 (9 Offers)–
"ViprTech.com Gaming PC Computer Desktop - Intel i5 4th Gen, NVIDIA GTX 1060 3GB, 8GB RAM, 1TB HDD, VR Ready, RGB, WiFi, Windows 10 Pro, 1 Year Warranty",$799.95 –
"ViprTech.com Gaming PC Computer Desktop - Intel i5 4th Gen, NVIDIA GTX 1060 3GB, 16GB RAM, 2TB HDD, VR Ready, STREAMING, RGB, WiFi, Windows 10 Pro, 1 Year Warranty",$849.95 –
ETopSell Gaming Computer PC Desktop - AMD Athlon 200GE (2 Core 4 Thread up to 3.2GHz)– 120GB SSD – 8GB DDR4 2666 – RGB Fans – AC WIFI – Windows 10 Home Black,
"AORUS MODEL X Gaming PC Computer Desktop (AMD R9 5900X, NVIDIA GeForce RTX 3080 10GB GDDR6X, 32GB DDR4 RAM, 3TB M.2 SSD) - GB-AMXR9N8A-20A1","$3,299.99 –"
Periphio Warp Gaming PC Computer | AMD Athlon 3000G | Radeon Vega 3 iGPU (2GB) | 500GB (SSD) Solid State Drive | 16GB DDR4 RAM | HD 1080p Gaming | Windows 10 Home | RGB Gaming Bundle,$618.99 –
"Dell OptiPlex 9020 Ultra Small Business PC Desktop Computer, Intel Quad Core i5, 16GB RAM, 1TB SSD, Windows 10 Pro, 23.6"" FHD LED Monitor, 16GB Flash Drive, Wireless Keyboard & Mouse, DVD, WiFi",$517.94 (4 Offers)–
"ViprTech.com Whiteout Gaming PC Desktop Computer - AMD Ryzen 5 5600G (12-Core @ 4.4Ghz), AMD Radeon RX Vega 7 Graphics, 16GB DDR4 RAM, 128GB M.2 SSD, 1TB HDD, WiFi, RGB, 1-Year Warranty",$734.95 –
"HP EliteDesk 800 G2 Desktop Mini Business PC Computer, Intel Quad Core i5, 16GB RAM, 512GB Solid State Drive, Windows 10 Professional, 16GB Flash Drive, Wireless Keyboard & Mouse, WiFi",$336.89 (6 Offers)–
"ViprTech.com Flurry Gaming PC Desktop Computer - AMD Ryzen 5 (12-Core), AMD Radeon RX 560 4GB, 8GB DDR4 RAM, 1TB HDD, WiFi, RGB, Windows 10 Pro, 1 Year Warranty",$689.95 –
"ViprTech.com Entry Level Gaming PC Computer - Intel i5 3.40Ghz, NVIDIA GTX 650, 8GB RAM, 1TB HDD, WiFi, RGB, Windows 10 Pro, 1 Year Warranty",$499.95 –
Lenovo ThinkCentre M83 SFF Computer PC i5 4570 3.2Ghz 16GB DDR3 RAM 1TB SSD NVIDIA GeForce GT 1030 2GB Win 10 Pro WIFI with Gaming PC Keyboard & Mouse HAJAAN HC510 HDMI,$399.99 –
"Periphio Vortex Gaming PC Desktop Computer Tower, Intel Quad Core i5 3.2GHz, 16GB RAM, 120GB SSD + 500GB 7200 RPM HDD, Windows 10, Nvidia GT1030 2GB, HDMI, Wi-Fi",$668.99 –
"ViprTech.com Prime Gaming PC Computer Desktop - Intel i5-3570, NVIDIA GTX 750 Ti, 16GB RAM, 1TB HDD, RGB, WiFi, Windows 10 Pro, 1 Year Warranty",$649.95 –
ABS Challenger Gaming PC - Windows 11 Home - Intel i5 11400F - GeForce RTX 3050 - 16GB DDR4 3200MHz - 512GB M.2 NVMe SSD,"$1,099.99 –"
ABS Master Gaming PC - Windows 10 Home - Intel i5 11400F - GeForce RTX 3060 - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,"$1,149.99 –"
ABS Master Gaming PC - Windows 10 Home - Intel i7 11700F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,"$1,399.99 –"
ABS Legend Gaming PC - Windows 10 Home - Intel i9 11900KF - GeForce RTX 3080 Ti - G.Skill TridentZ RGB 16GB DDR4 3200 MHz - 1TB Intel M.2 NVMe SSD,"$3,199.99 –"
"Mini PC Windows 10 Pro Intel i5-8259U(up to 3.8GHz) 8GB RAM/256GB SSD Mini Desktop Computer, Quad Core Gaming PC , Support 4K Dual HDMI, Gigabit Ethernet, 2.4/5.0G WiFi, BT 5.0",$419.00 (2 Offers)–
9th Gen Nuc i9 9880H 8 Core i9 Mini PC 2 Lan Windows 10 2*DDR4 2*M.2 NVME AC WiFi Gaming Desktop Computer 4K DP HD-MI 32GB Ram 1TB SSD,$975.19 (28 Offers)–
Periphio Raptor PC Gaming Computer Desktop | Intel Quad Core i7 | GeForce GTX 1650 (4GB) | 16GB RAM | 500GB SSD +1TB HDD | Windows 10 | RGB HDMI WIFI,$989.99 –
"Periphio Vortex Gaming PC Desktop Computer Tower, Intel Quad Core i5 3.2GHz, 16GB RAM, 120GB SSD + 500GB 7200 RPM HDD, Windows 10, Nvidia GT1030 2GB, HDMI, Wi-Fi",$649.99 –
"Gaming Dell OptiPlex 3040 i5-6th gen | 8GB RAM, 480GB SSD |New 24"" LED Monitor | RGB Keyboard and Mouse | 4 in 1 USB Hub | AMD Radeon RX-550 4GB DDR5 Graphicss, Wireless WiFi, Windows 10 Pro",$819.80 –
"Gaming HP 600 G1 SFF Desktop Intel core i7-4th gen | 8GB RAM,  2TB HDD | RGB Keyboard Mouse | 4 in 1 USB Hub | Nvidia Geforce GT 730 4GB Graphics, WiFi, Windows 10 Pro",$482.28 –
"EliteDesk RGB Desktop Computer PC w/ Custom RGB Lighting, Intel i5 Quad-Core, 8GB DDR4 RAM, Intel HD Graphics, 240GB Solid State  (SSD), WIFI, Bluetooth, Windows 10 Pro",$399.99 –
"ViprTech Enthusiast Gaming PC Computer Desktop - Intel Core i5, NVIDIA GTX 660 2GB, 8GB RAM, 1TB HDD, RGB, WiFi, Windows 10 Pro, 1 Year Warranty",$599.95 –
"Gaming HP 600 G1 SFF Desktop, Intel core i7-4th gen | 16GB RAM, 128GB SSD, 1TB HDD | RGB Keyboard Mouse| 4 in 1 USB Hub | NVIDIA Geforce GT 730 4GB Graphics, WiFi, Windows 11 Pro",$553.98 –
"Gaming HP 600 G1 SFF Desktop Intel core i5-4th gen | 8GB RAM, 256GB SSD |New 24"" LED Monitor | RGB Keyboard and Mouse | 4 in 1 USB Hub | Nvidia Geforce GT 1030 4GB Graphics, WiFi, Windows 10 Pro",$563.39 –
Dell Desktop Computer w/ RGB Lighting | Intel Quad-Core i5 | 8GB DDR3 RAM | 240GB SSD | WIFI + Bluetooth | Windows 10 PC (Renewed),$199.99 –
